
This product is licensed by WSO2 Inc. under Apache License 2.0. The license
can be downloaded from the following locations:
	http://www.apache.org/licenses/LICENSE-2.0.html
	http://www.apache.org/licenses/LICENSE-2.0.txt

This product also contains software under different licenses. This table below
all the contained libraries (jar files) and the license under which they are 
provided to you.

At the bottom of this file is a table that shows what each license indicated
below is and where the actual text of the license can be found.


Name                                                                                                Type.          License
json-schema-validator-all_2.2.6.wso2v7.jar                                                          bundle         apache2
org.wso2.carbon.identity.claim.metadata.mgt.ui_5.18.187.jar                                         bundle         apache2
org.wso2.carbon.apimgt.rest.api.common_9.0.174.jar                                                  bundle         apache2
org.wso2.carbon.governance.lcm.stub_4.8.21.jar                                                      bundle         apache2
org.wso2.carbon.cluster.mgt.core_4.6.2.jar                                                          bundle         apache2
org.wso2.carbon.identity.application.default.auth.sequence.mgt.stub_5.18.187.jar                    bundle         apache2
waffle-jna_1.6.0.wso2v6.jar                                                                         bundle         epl1
org.wso2.carbon.databridge.streamdefn.filesystem_5.2.34.jar                                         bundle         apache2
org.wso2.carbon.statistics_4.7.35.jar                                                               bundle         apache2
synapse-tasks_2.1.7.wso2v227.jar                                                                    bundle         apache2
org.eclipse.core.contenttype_3.4.200.v20130326-1255.jar                                             bundle         epl1
hector-core_1.1.4.wso2v2.jar                                                                        bundle         apache2
org.apache.commons.configuration_1.10.0.jar                                                         bundle         apache2
org.wso2.carbon.user.api_4.6.2.jar                                                                  bundle         apache2
org.wso2.carbon.mediation.configadmin.ui_4.7.99.jar                                                 bundle         apache2
org.eclipse.equinox.event_1.5.100.v20190528-1257.jar                                                bundle         epl1
swagger-inflector-oas3_2.0.5.wso2v1.jar                                                             bundle         apache2
org.jaggeryjs.hostobjects.registry_0.14.13.jar                                                      bundle         apache2
org.wso2.carbon.user.mgt.ui_5.18.187.jar                                                            bundle         apache2
ant_1.7.0.wso2v1.jar                                                                                bundle         apache2
csrfguard_3.1.0.wso2v3.jar                                                                          bundle         bsd
org.wso2.carbon.crypto.api_1.1.9.jar                                                                bundle         apache2
commons-fileupload_1.3.3.wso2v1.jar                                                                 bundle         apache2
org.eclipse.equinox.registry_3.6.0.v20150318-1503.jar                                               bundle         epl1
org.wso2.carbon.email.mgt.stub_1.3.13.jar                                                           bundle         apache2
org.wso2.carbon.apimgt.impl_9.0.174.jar                                                             bundle         apache2
org.wso2.carbon.apimgt.jms.listener_9.0.174.jar                                                     bundle         apache2
org.wso2.carbon.metrics.impl_1.3.7.jar                                                              bundle         apache2
antlr_3.2.0.wso2v1.jar                                                                              bundle         bsd
org.wso2.carbon.application.mgt.synapse_4.7.99.jar                                                  bundle         apache2
org.wso2.carbon.roles.mgt.ui_4.6.2.jar                                                              bundle         apache2
org.wso2.carbon.ndatasource.common_4.6.2.jar                                                        bundle         apache2
io.netty.common_4.1.63.Final.jar                                                                    bundle         apache2
io.github.openfeign.feign-core_11.0.0.jar                                                           bundle         apache2
org.wso2.carbon.andes.event.admin_3.3.15.jar                                                        bundle         apache2
org.wso2.carbon.identity.entitlement.proxy_5.3.4.jar                                                bundle         apache2
org.wso2.carbon.captcha.mgt_5.18.187.jar                                                            bundle         apache2
opensaml_3.3.1.wso2v1.jar                                                                           bundle         apache2
io.github.openfeign.feign-okhttp_11.0.0.jar                                                         bundle         apache2
h2_1.4.199.wso2v1.jar                                                                               bundle         apache2
httpclient_4.5.13.wso2v1.jar                                                                        bundle         apache2
org.eclipse.equinox.jsp.jasper_1.1.200.v20190214-1948.jar                                           bundle         epl1
org.wso2.carbon.event.stream.admin_5.2.34.jar                                                       bundle         apache2
org.wso2.carbon.mediation.ntaskadmin_4.7.99.jar                                                     bundle         apache2
org.wso2.carbon.identity.consent.mgt_5.18.187.jar                                                   bundle         apache2
org.eclipse.equinox.p2.director_2.3.100.v20140224-1921.jar                                          bundle         epl1
siddhi-core_3.2.3.jar                                                                               bundle         apache2
siddhi-extension-regex_3.2.6.jar                                                                    bundle         apache2
org.wso2.carbon.event.core_4.7.35.jar                                                               bundle         apache2
org.wso2.carbon.event.output.adapter.wso2event_5.2.34.jar                                           bundle         apache2
org.eclipse.osgi.compatibility.state_1.0.200.v20160504-1419.jar                                     bundle         epl1
awslambda_1.11.253.wso2v1.jar                                                                       bundle         apache2
wso2-uri-templates_1.6.5.jar                                                                        bundle         apache2
org.wso2.carbon.registry.resource_4.7.39.jar                                                        bundle         apache2
org.wso2.carbon.apimgt.registry.cache.stub_9.0.174.jar                                              bundle         apache2
org.eclipse.ecf.filetransfer_5.0.0.v20130604-1622.jar                                               bundle         epl1
org.wso2.carbon.tenant.mgt.stub_4.9.10.jar                                                          bundle         apache2
org.wso2.am.analytics.publisher.client_1.0.0.jar                                                    bundle         apache2
org.jaggeryjs.hostobjects.stream_0.14.13.jar                                                        bundle         apache2
org.wso2.carbon.mediator.fastXSLT_4.7.99.jar                                                        bundle         apache2
synapse-commons_2.1.7.wso2v227.jar                                                                  bundle         apache2
okhttp_4.2.0.wso2v1.jar                                                                             bundle         apache2
kotlin-stdlib-1.3.50.jar                                                                            jarinbundle    apache2
kotlin-stdlib-common-1.3.50.jar                                                                     jarinbundle    apache2
org.wso2.carbon.identity.data.publisher.authentication.audit_5.3.19.jar                             bundle         apache2
io.zipkin.zipkin2.zipkin_2.20.1.jar                                                                 bundle         apache2
org.apache.qpid.proton-j_0.33.4.jar                                                                 bundle         apache2
org.eclipse.ecf_3.2.0.v20130604-1622.jar                                                            bundle         epl1
org.wso2.carbon.event.template.manager.stub_5.2.34.jar                                              bundle         apache2
org.eclipse.equinox.security_1.2.100.v20150423-1356.jar                                             bundle         epl1
org.wso2.carbon.identity.functions.library.mgt_5.18.187.jar                                         bundle         apache2
org.wso2.carbon.identity.oidc.session_6.4.111.jar                                                   bundle         apache2
org.wso2.carbon.registry.extensions.ui_4.7.34.jar                                                   bundle         apache2
org.wso2.carbon.mediation.security_4.7.99.jar                                                       bundle         apache2
org.wso2.carbon.identity.oauth.ui_6.4.111.jar                                                       bundle         apache2
org.wso2.carbon.identity.template.mgt.ui_5.18.187.jar                                               bundle         apache2
org.wso2.carbon.apimgt.broker.lifecycle_9.0.174.jar                                                 bundle         apache2
XmlSchema_1.4.7.wso2v6.jar                                                                          bundle         apache2
org.wso2.carbon.idp.mgt.stub_5.18.187.jar                                                           bundle         apache2
org.apache.hadoop.zookeeper_3.4.13.jar                                                              bundle         apache2
org.wso2.carbon.identity.saml.common.util_1.0.3.jar                                                 bundle         apache2
org.wso2.carbon.identity.captcha_1.4.72.jar                                                         bundle         apache2
org.wso2.carbon.sts.stub_5.6.5.jar                                                                  bundle         apache2
org.wso2.carbon.rest.api_4.7.99.jar                                                                 bundle         apache2
org.wso2.carbon.event.output.adapter.email_5.2.34.jar                                               bundle         apache2
org.eclipse.core.expressions_3.4.500.v20130515-1343.jar                                             bundle         epl1
tiles-jsp_2.0.5.wso2v1.jar                                                                          bundle         apache2
commons-digester-1.8.jar                                                                            jarinbundle    apache2
commons-beanutils-1.7.0.jar                                                                         jarinbundle    apache2
org.wso2.carbon.event.receiver.ui_5.2.34.jar                                                        bundle         apache2
org.wso2.carbon.event.flow_2.2.14.jar                                                               bundle         apache2
tomcat-catalina-ha_9.0.34.wso2v1.jar                                                                bundle         apache2
org.wso2.carbon.identity.user.profile.ui_5.18.187.jar                                               bundle         apache2
org.wso2.carbon.identity.oauth.common_6.4.111.jar                                                   bundle         apache2
org.wso2.carbon.identity.mgt_5.18.187.jar                                                           bundle         apache2
org.wso2.carbon.user.mgt.workflow.stub_5.18.187.jar                                                 bundle         apache2
org.wso2.carbon.mediation.artifactuploader_4.7.99.jar                                               bundle         apache2
org.wso2.carbon.governance.registry.eventing_4.8.21.jar                                             bundle         apache2
siddhi-query-compiler_3.2.6.jar                                                                     bundle         apache2
org.wso2.carbon.event.output.adapter.rdbms_5.2.34.jar                                               bundle         apache2
org.wso2.carbon.identity.template.mgt_5.18.187.jar                                                  bundle         apache2
stax2-api_3.1.4.jar                                                                                 bundle         bsd
org.wso2.carbon.tenant.theme.mgt_4.9.10.jar                                                         bundle         apache2
org.wso2.carbon.event.input.adapter.kafka_5.2.34.jar                                                bundle         apache2
org.wso2.carbon.mediation.registry_4.7.99.jar                                                       bundle         apache2
org.wso2.carbon.event.output.adapter.jms_5.2.34.jar                                                 bundle         apache2
org.wso2.carbon.event.stream.persistence.stub_5.2.34.jar                                            bundle         apache2
org.wso2.carbon.identity.idp.metadata.saml2_1.4.2.jar                                               bundle         apache2
pingfederate.key.manager_1.0.3.jar                                                                  bundle         apache2
httpcore-nio_4.4.14.wso2v1.jar                                                                      bundle         apache2
org.wso2.carbon.event.output.adapter.http_5.2.34.jar                                                bundle         apache2
org.wso2.carbon.metrics.common_1.3.7.jar                                                            bundle         apache2
org.objectweb.asm.all_5.2.0.jar                                                                     bundle         asm
org.wso2.carbon.mediation.commons_4.7.99.jar                                                        bundle         apache2
org.wso2.carbon.identity.user.export.core_1.4.72.jar                                                bundle         apache2
io.dropwizard.metrics.jvm_3.2.5.jar                                                                 bundle         apache2
org.wso2.carbon.endpoint_4.7.99.jar                                                                 bundle         apache2
org.wso2.carbon.ndatasource.datasources_4.7.35.jar                                                  bundle         apache2
org.wso2.caching_4.0.3.jar                                                                          bundle         apache2
jdom_1.0.0.wso2v1.jar                                                                               bundle         apache2
org.wso2.carbon.event.ws_4.7.35.jar                                                                 bundle         apache2
org.apache.commons.commons-codec_1.14.0.jar                                                         bundle         apache2
software.amazon.ion.java_1.0.2.jar                                                                  bundle         apache2
org.wso2.carbon.event.processor.template.deployer_2.2.14.jar                                        bundle         apache2
org.wso2.carbon.ui.menu.general_4.6.2.jar                                                           bundle         apache2
org.wso2.carbon.databridge.receiver.binary_5.2.34.jar                                               bundle         apache2
swagger-request-validator-core_2.12.1.wso2v2.jar                                                    bundle         apache2
json-schema-validator-2.2.11.jar                                                                    jarinbundle    apache2
jstl_1.2.1.wso2v2.jar                                                                               bundle         cddl1
org.wso2.carbon.identity.user.profile_5.18.187.jar                                                  bundle         apache2
com.samskivert.jmustache_1.15.0.jar                                                                 bundle         bsd
org.wso2.carbon.identity.auth.service_1.4.25.jar                                                    bundle         apache2
org.apache.servicemix.bundles.geocoder-java_0.16.0.1.jar                                            bundle         apache2
org.wso2.carbon.osgi.security_4.6.2.jar                                                             bundle         apache2
org.wso2.carbon.identity.user.store.configuration.deployer_5.18.187.jar                             bundle         apache2
abdera_1.0.0.wso2v3.jar                                                                             bundle         apache2
org.wso2.carbon.analytics.message.tracer.handler.stub_1.4.5.jar                                     bundle         apache2
org.wso2.carbon.identity.recovery_1.4.72.jar                                                        bundle         apache2
js_1.7.0.R4wso2v1.jar                                                                               bundle         mpl10
org.jaggeryjs.hostobjects.web_0.14.13.jar                                                           bundle         apache2
org.wso2.carbon.event.simulator.core_2.2.14.jar                                                     bundle         apache2
org.wso2.carbon.registry.api_4.6.2.jar                                                              bundle         apache2
org.wso2.carbon.identity.context.rewrite.valve_1.4.25.jar                                           bundle         apache2
org.wso2.carbon.identity.oauth.stub_6.4.111.jar                                                     bundle         apache2
org.wso2.carbon.event.common_4.7.35.jar                                                             bundle         apache2
org.wso2.carbon.sts_5.6.5.jar                                                                       bundle         apache2
axis2-transport-mail_2.0.0.wso2v42.jar                                                              bundle         apache2
org.wso2.carbon.identity.mgt.stub_5.18.187.jar                                                      bundle         apache2
nimbus-jose-jwt_7.3.0.wso2v1.jar                                                                    bundle         apache2
siddhi-extension-kalman-filter_3.2.6.jar                                                            bundle         apache2
org.wso2.carbon.directory.server.manager.common_5.18.187.jar                                        bundle         apache2
org.wso2.carbon.identity.user.profile.stub_5.18.187.jar                                             bundle         apache2
org.wso2.carbon.metrics.manager_1.3.7.jar                                                           bundle         apache2
org.jaggeryjs.hostobjects.jaggeryparser_0.14.13.jar                                                 bundle         apache2
org.wso2.carbon.apimgt.notification_9.0.174.jar                                                     bundle         apache2
org.eclipse.equinox.console_1.3.300.v20190516-1504.jar                                              bundle         epl1
org.wso2.carbon.identity.saml.common.util_1.0.4.jar                                                 bundle         apache2
org.eclipse.equinox.p2.engine_2.3.0.v20140506-1720.jar                                              bundle         epl1
org.restlet_2.3.0.wso2v1.jar                                                                        bundle         apache2
